name,followers_number,avatar_url,average_views,price
0x_Melo,468,https://pbs.twimg.com/profile_images/1566308150092787712/O-lg-uda_bigger.jpg,0,0.05
cryptofather48,1565,https://pbs.twimg.com/profile_images/1746138967677014016/XEYlua2v_bigger.jpg,18.75,0.05
0xscarlettw,3055,https://pbs.twimg.com/profile_images/1632722212997455876/iO9W_YMt_bigger.jpg,0,0.05
meltingsol,3138,https://pbs.twimg.com/profile_images/1776350378277449728/fUsIWbUB_bigger.jpg,294.3333333,0.05
0x_nanobro,3173,https://pbs.twimg.com/profile_images/1719659248853069824/RiXgH_Wz_bigger.jpg,407,0.05
johnsedanoNFT,3178,https://pbs.twimg.com/profile_images/1709272822143741952/aPIzVcCA_bigger.jpg,0,0.05
ashwinrz,3206,https://pbs.twimg.com/profile_images/1775245215470583808/ppSRiyDP_bigger.jpg,0,0.05
spinxho_0x,3242,https://pbs.twimg.com/profile_images/1705082905301807104/If2ZWHZ7_bigger.jpg,90,0.05
flyacro,3236,https://pbs.twimg.com/profile_images/1813673663587057664/ue-jTadb_bigger.jpg,0,0.05
0xahgigix,549,https://pbs.twimg.com/profile_images/1547959961204195328/XYjtvf2k_bigger.jpg,0,0.05
CryptoSparky,559,https://pbs.twimg.com/profile_images/1762625811394293760/vSZGb4st_bigger.jpg,0,0.05
sanchay_mittal,580,https://pbs.twimg.com/profile_images/1524180916498665472/KS5vWArQ_bigger.jpg,193,0.05
0xJakeZ,609,https://pbs.twimg.com/profile_images/1767031949439475712/TXC96ClX_bigger.jpg,0,0.05
theLewGuy,623,https://pbs.twimg.com/profile_images/1764699321017262080/wW9hlxs0_bigger.jpg,0,0.05
0xSoliditySnake,625,https://pbs.twimg.com/profile_images/1593256804678516737/2H4c3jEb_bigger.jpg,0,0.05
MRKWH,652,https://pbs.twimg.com/profile_images/1835900451537227776/W_AphKPO_bigger.jpg,0,0.05
cryptojunkie18,696,https://pbs.twimg.com/profile_images/1761716872632803329/BvnQYtfC_bigger.jpg,0,0.05
BitDegen,735,https://pbs.twimg.com/profile_images/1831410936537571328/_J9RjzaK_bigger.jpg,38,0.05
n4s2am,767,https://pbs.twimg.com/profile_images/1569431071195889664/L752Skk8_bigger.jpg,0,0.05
cryptoreb3,767,https://pbs.twimg.com/profile_images/1706636419752480768/ZdkAtTGb_bigger.jpg,67.5,0.05
foxmansol,782,https://pbs.twimg.com/profile_images/1649108327496921090/W-ogtSau_bigger.jpg,0,0.05
